Projects,Raw Requirements,Requiremnet Name,Type,Requirement with Standard Syntax(previous),, type,Requirement with Standard Syntax,Domain,sub_domain,
PR-99,System should take title for that timetable from the owner,Add Item by Owner (Timetable Template),Ubiquitous,The system shall take title for that timetable from the owner.,,ubiquitous,The system shall take title for that timetable from the owner.,Education,,
PR-99,System must take type of product that should be recommended from the user,Add Item by Owner (Product Recommendation Template),Ubiquitous,The system shall take type of product that will be recommended from the user.,,ubiquitous,The system shall take type of product that will be recommended from the user.,Education,,
PR-99,System should warn owner that deleting item will result in losing all data within that item,?elete Item by Owner,Ubiquitous,The system shall warn owner that deleting item will result in losing all data within that item.,,ubiquitous,The system shall warn owner that deleting item will result in losing all data within that item.,Education,,
PR-99,User should be able to scan and open box,Scan QR to Open Box,Ubiquitous,The system shall allow the user to scan and open box.,,ubiquitous,The system shall allow the user to scan and open box.,Education,,
PR-99,System should allow everyone to scan and open box even without logging in,Scan QR to Open Box,Ubiquitous,The system shall allow everyone to scan and open box even without logging in.,,ubiquitous,The system shall allow everyone to scan and open box even without logging in.,Education,,
PR-99,System should first trigger the instant display and show client that item ,Scan QR to Open Box,Ubiquitous,The system shall first trigger the instant display and show client that item. ,,ubiquitous,The system shall first trigger the instant display and show client that item. ,Education,,
PR-99,Client must be able to post in the box that is opened,Add Post by Client,Ubiquitous,The system shall allow the client to post in the box that is opened.,,ubiquitous,The system shall allow the client to post in the box that is opened.,Education,,
PR-99,"Post could be anything of type photo, video, audio, text, v card, location, URL with title and description",Add Post by Client,Ubiquitous,"The system shall allow the client to post any type of photo, video, audio, text, v card, location, URL with title and description.",,ubiquitous,"The system shall allow the client to post any type of photo, video, audio, text, v card, location, URL with title and description.",Education,,
PR-99,Owner must be able to delete posts,View Post by Owner,Ubiquitous,The system shall allow the owner to delete the posts.,,ubiquitous,The system shall allow the owner to delete the posts.,Education,,
PR-99,Client must be able to view generic type item,?iew Item by Client (Generic),Ubiquitous,The system shall allow the client to view generic type item.,,ubiquitous,The system shall allow the client to view generic type item.,Education,,
PR-99,System should trigger instant display and show client that post,?iew Item by Client (Generic),Ubiquitous,The system shall trigger instant display and show client that post.,,ubiquitous,The system shall trigger instant display and show client that post.,Education,,
PR-99,Client must be able to scroll and read each post,?iew Item by Client (Generic),Ubiquitous,The system shall allow the Client to scroll and read each post.,,ubiquitous,The system shall allow the Client to scroll and read each post.,Education,,
PR-99,Client must be able to view feedback type item,View Item by Client (Feedback Template),Ubiquitous,The system shall allow the client to view feedback type item.,,ubiquitous,The system shall allow the client to view feedback type item.,Education,,
PR-99,Client should be able to provide rating out of 5,View Item by Client (Feedback Template),Ubiquitous,The system shall allow the client should to provide rating out of 5.,,ubiquitous,The system shall allow the client should to provide rating out of 5.,Education,,
PR-99,System should allow client to add positive or negative review,View Item by Client (Feedback Template),Ubiquitous,The system shall allow the client to add positive or negative review.,,ubiquitous,The system shall allow the client to add positive or negative review.,Education,,
PR-99,Client must be able to view timetable type item ,View Item by Client (Timetable Template),Ubiquitous,The system shall allow the client to view timetable type item. ,,ubiquitous,The system shall allow the client to view timetable type item. ,Education,,
PR-99,Client must be able to select slot to view details associated to that respective slot,View Item by Client (Timetable Template),Ubiquitous,The system shall allow the client to select slot to view details associated to that respective slot.,,ubiquitous,The system shall allow the client to select slot to view details associated to that respective slot.,Education,,
PR-99,Client must be able to make appointment,View Item by Client (Timetable Template),Ubiquitous,The system shall allow the Client must to make appointment.,,ubiquitous,The system shall allow the Client must to make appointment.,Education,,
PR-99,Client should be able to view product recommendation type item,View Item by Client (Product Recommendation Template),Ubiquitous,The system shall allow the client to view product recommendation type item.,,ubiquitous,The system shall allow the client to view product recommendation type item.,Education,,
PR-99,"System should let client add name of product, company name, website, phone, description",View Item by Client (Product Recommendation Template),Ubiquitous,"The system shall allow the client to add name of product, company name, website, phone, description.",,ubiquitous,"The system shall allow the client to add name of product, company name, website, phone, description.",Education,,
PR-99,User must be able to view opened boxes history,?pened Boxes History,Ubiquitous,The system shall allow the user to view opened boxes history.,,ubiquitous,The system shall allow the user to view opened boxes history.,Education,,
PR-99,User must be able to open each box again if not deleted or inactive,?pened Boxes History,Ubiquitous,The system shall allow the user to open each box again if not deleted or inactive.,,ubiquitous,The system shall allow the user to open each box again if not deleted or inactive.,Education,,
PR-100,Users have to enter his details to register himself.,Sign up,Ubiquitous,The system shall allow the users to enter his details to register himself.,,ubiquitous,The system shall allow the users to enter his details to register himself.,Game,,
PR-100,Users have to enter his username and password.,Sign up,Ubiquitous,The system shall allow the users to enter his username and password.,,ubiquitous,The system shall allow the users to enter his username and password.,Game,,
PR-100,The system will allow the player to exit a specific game.,Game basics,Ubiquitous,The system will allow the player to exit a specific game.,,ubiquitous,The system will allow the player to exit a specific game.,Game,,
PR-100,The system shall give a specific time limit on each game level.,Time Modes,Ubiquitous,The system shall give a specific time limit on each game level.,,ubiquitous,The system shall give a specific time limit on each game level.,Game,,
PR-100,System shall make a game complex by reducing the time limit to win the game.,Time Modes,Ubiquitous,The system shall make a game complex by reducing the time limit to win the game.,,ubiquitous,The system shall make a game complex by reducing the time limit to win the game.,Game,,
PR-114,The game must be implemented in C#,Scripting requirement ,Ubiquitous,the game shall be implemented in C#,,ubiquitous,the game shall be implemented in C#,Game,,
PR-114,The game must be developed in Unity 2018.3.7f1,Scripting requirement ,Ubiquitous,the game shall be developed in unity 2018.3.7f1,,ubiquitous,the game shall be developed in unity 2018.3.7f1,Game,,
PR-114,The game must be controlled with a controller or touch controls.,"Display, control and Audio",Ubiquitous,the game shall control with a  controller,,ubiquitous,the game shall control with a  controller,Game,,
PR-114,The game must be played on Windows.,Operating System,Ubiquitous,the game shall playable on windows,,ubiquitous,the game shall playable on windows,Game,,
PR-114,The game must be playable on Android,Operating System,Ubiquitous,the game shall playable on android,,ubiquitous,the game shall playable on android,Game,,
PR-114,The game must have 3 fully detailed levels and a final boss fight level.,"Levels, content and message",event driven,when 3 fully detailed levels end system shall have final boss fight level,,ubiquitous,the game shall have 3 fully detailed level,Game,,
,,,,,,ubiquitous,the game shall have final boss fight level,Game,,
PR-114,The game must be viewed in a 3rd person perspective,Dimensional platformer,Ubiquitous,the game shal viewed in 3rd person percpective,,ubiquitous,The game shall be view in 3rd person perspective,Game,,
PR-114,The environment shall be 3-dimensional in nature,Dimensional platformer,Ubiquitous,the game shall be in 3 dimensional in nature,,ubiquitous,the game shall be in 3 dimensional in nature,Game,,
PR-114,The characters and models shall be 2-dimensional in nature,Dimensional platformer,Ubiquitous,The game character and models shall  be 2 dimension,,ubiquitous,The game character and models shall  be 2 dimension,Game,,
PR-114,The main character? health and game? high-score shall be visible while gameplay,Dimensional platformer,event driven,when  play  main character of the game shall show health and high score,,ubiquitous,the game shall show health of main character,Game,,
,,,,,,ubiquitous,the game shall show high score of main character,Game,,
PR-116,Admin must be able to manage users and brands.,Manage User and Brands,Ubiquitous,The  admin shall able to manage user and brands,,ubiquitous,The  admin shall able to manage user and brands,Online Service,,
PR-116,Admin must able to verify new Brands.,Verify Brands,Ubiquitous,the admin shall able to verfiy  new brands,,ubiquitous,the admin shall able to verfiy  new brands,Online Service,,
PR-116,User must be able to see upcoming trends.,See Upcoming trends,Ubiquitous,The user shall  able to see upcoming trends,,ubiquitous,The user shall  able to see upcoming trends,Online Service,,
PR-116,Brand/Designer must able to add new designs and also must be able to manage designs like update design and delete design.,Add and manage designs,,,,ubiquitous,the system shall able to add designs like update and delete design.,Online Service,,
,,,,,,ubiquitous,the system shall able to manage  designs like update and delete design.,Online Service,,
,,,,,,ubiquitous,the User shall be able to send feedback to the admin.,Online Service,,
PR-116,Admin must be able to reply to the queries.,Reply,Ubiquitous,Admin shal reply to all queries,,ubiquitous,the Admin shall reply to all queries,Online Service,,
PR-116,"Admin, Brand Must able to logout",Logout,Ubiquitous,,,ubiquitous,the user shall able to logout,Online Service,,
PR-122,Applicants will be validated against authorized users.,Login,Ubiquitous,Application shall validate against valid user,,ubiquitous,the Application shall validate against valid user,Tracking System,,
PR-122,Applicants will login by using their email ids and passwords.,login,Ubiquitous,application shall login by emails id  and password,,ubiquitous,the application shall login by emails id  and password,Tracking System,,
PR-122,Trip history will be generated for each car.,Trip history,Ubiquitous,Trip history shall generate for each car,,ubiquitous,the trip history shall generate for each car,Tracking System,,
PR-122,It will show summary and trip details on the map.,triap history,Ubiquitous,application shal show trip history and detail on map,,ubiquitous,the application shall show trip history ,Tracking System,,
,,,,,,ubiquitous,the application shall show trip detail on map,Tracking System,,
PR-122,The system will generate event details of every trip.,Event details ,Ubiquitous,system shall generate event detail of every trip ,,ubiquitous,the system shall generate event detail of every trip,Tracking System,,
PR-122,It will show the status of the device and vehicle in that particular event .,Event details ,Ubiquitous,Application shall show  status of the device and vehicle in that particular event ,,ubiquitous,the application shall show  status of the car ,Tracking System,,
PR-122,It will show starting and ending stops on the map.,Stope details ,Ubiquitous,system shall show starting and ending stop on map,,ubiquitous,the system shall show starting point on map,Tracking System,,
,,,Ubiquitous,,,ubiquitous,the system shall show ending stop on map,Tracking System,,
PR-122,The system will generate all the routes of the specific date and time.,Route details ,Ubiquitous,system shal generate all routes of spoefic date and time ,,ubiquitous,the system shall generate all routes of specific date,Tracking System,,
,,,,,,ubiquitous,the system shall generate all routes of specific  time ,Tracking System,,
PR-122,It will also show routes on the map.,Route details ,Ubiquitous,system shall show routes on map,,ubiquitous,the system shall show routes on map,Tracking System,,
PR-122,It will be shown in trip details.,trip Score,Ubiquitous,Each trip score shall shown in trip details ,,ubiquitous,the trip score shall show the trip detail ,Tracking System,,
PR-122,Analyse Driver? Behaviour,Dricers behaviour ,Ubiquitous,system shal analyze driver behaviour,,ubiquitous,the system shall analyze the driver behaviour,Tracking System,,
PR-124,"This homepage dashboard shall provide different menu options by the system for user to select one. For example, Categories, Models, VR settings, settings etc.  ",Homepage,,,,ubiquitous,the system dashboard shall provide different menu options  for user to select one,Virtual reality,,
PR-124,This option shall allow the user for virtual reality environment settings and stabilization. ,VR settings,,,,ubiquitous,The app shall allow the user for virtual reality environment settings and stabilization. ,Virtual reality,,
,,,,,,ubiquitous,The app shall allow the user for virtual reality environment settings and stabilization. ,Virtual reality,,
PR-124,The option shall contain slots for VR camera settings. ,VR settings,,,,ubiquitous,The app shall contain the option of slots for VR camera settings. ,Virtual reality,,
,This option will allow the user to select the interior parts which he/she wants to customize. ,Dashboard,Ubiquitous,the system shall allow user  to select interior part which he wants to customize ,,ubiquitous,the system shall allow user  to select interior part which he wants to customize ,Virtual reality,,
,The option will provide the user with all car models that are present in the app database ,Dashboard model ,,,,ubiquitous,The system shall provide option  the user with all car models that are present in the app database ,Virtual reality,,
PR-125,"The system shall identify, map, and extract the boundary of only the tumor portion of the scan images.",,,,,ubiquitous,The system shall  map the boundary of the tumor portion of the scan images.,Medical,,
,,,,,,ubiquitous,The system shall identify the tumor portion of the scan images.,Medical,,
,,,,,,ubiquitous,The system shall extract the boundary the tumor portion of the scan images.,Medical,,
PR-125,The system shall allow user to add comments.,,ubiquitous,the system shall allow user to add comments ,,ubiquitous,the system shall allow user to add comments ,Medical,,
PR-125,The system shall allow user to exit.,,Ubiquitous,they system shall have exit option,,ubiquitous,the system shall have exit option,Medical,,
,The system should extract facial landmarks for lips from the video frame.,Feature Extraction,, ,,ubiquitous,The system shall  extract facial landmarks for lips from the video frame.,sensor Based,,
,The system ought to process features dependent on the separation between particular landmarks in back to back frames of video sequences.,Feature Extraction,,,,ubiquitous,The system shall process on the separation between particular landmarks in back to back frames of video sequences.,sensor Based,,
,The system ought to be able to perceive words and expressions verbally expressed by a talking mouth utilizing the models trained on the feature vectors.,: Words Recognition???,,,,ubiquitous,The system shall able to perceive words and expressions verbally ,sensor Based,,
,The system ought to identify specific words with or without sound under constrained conditions.,: Words Recognition???,,,,ubiquitous,The system shall identify specific words with or without sound under constrained conditions.,sensor Based,,
PR-128,The User should be able to Drag and Drop Courses,??????????????Manipulate Degree Plan,Ubiquitous, the system shall drag and drop courses,,ubiquitous, the system shall drag and drop courses,Education,,
,,,,,,ubiquitous,the system shall allow the user to drop  elective courses,Education,,
PR-128,Every batch should have a different representation of Course,??????????????Different Database for different batches,Ubiquitous,the system shall show  different course  representation for every batch,,Ubiquitous,the system shall show  different course  representation for every batch,Education,,
PR-129,The Degree Plan should load within few seconds,,Ubiquitous,the system shall load degree plan with in seconds,,Ubiquitous,the system shall load degree plan with in seconds,Game,,
PR-129,The system will detect collisions between the player and the objects.,,ubiquitous,the system shall detect collison between player of object,,ubiquitous,the system shall detect collison between player of object,Game,,
PR-129,"The user shall be able (but not required) to configure the game controls, i.e., what keyboard keys to use for what action in the game",,Ubiquitous,,,ubiquitous,The user shall be able  to configure the game controls,Game,,
PR-131,User can get system generated recommendation. It will show the list of best doctors according to user requirements,Get Recommendations,Ubiquitous,the system shall  generate recommendation and show best doctor list  according to user requirement ,,ubiquitous,the system shall  generate recommendation  according to user requirement ,Medical,,
,,,,,,ubiquitous,the system shall  show best doctor list  according to user requirement ,Medical,,
PR-132,"AI agent, users can send input text through web API",,Ubiquitous,AI user shall send input text through API ,,ubiquitous,the AI user shall send input text through API ,Control System,,
PR-132,Server will receive text input through GET/POST method,,ubiquitous,the server shall  receive text input through GET/POST method,,ubiquitous,the server shall  receive text input through GET method,Control System,,
PR-132,"AI agent, users can send input text through web API",,Ubiquitous,AI user shall send input text through API ,,ubiquitous,the AI user shall send input text through API ,Control System,,
PR-132,Server will receive text input through GET/POST method,,ubiquitous,the server shall  receive text input through GET/POST method,,ubiquitous,the server shall  receive text input through POST method,Control System,,
PR-132,"AI agent, users can send input text through web API",,ubiquitous,the AI user shall send input text through API ,,ubiquitous,the AI user shall send input text through API ,Control System,,
PR-132,Server will receive text input through GET/POST method,,ubiquitous,the server shall  receive text input through GET/POST method,,ubiquitous,the server shall  receive text input through GET/POST method,Control System,,
PR-132,"After text input fed into model, it will generate class label",,ubiquitous,when text input fed up into model the system shall generate class label,,ubiquitous,when text input fed up into model the system shall generate class label,Control System,,
PR-132,Server will send input and its class label back to client in JSON format,,ubiquitous, the Server shall send input and its class label back to client in JSON format,,ubiquitous, the Server shall send input and its class label back to client in JSON format,Control System,,
PR-134,Our application provides Login functionality for Students so the student can manage your activities.,Student Login,ubiquitous,when student login the system shall provide functionality to manage their activities ,,ubiquitous,when student login the system shall provide functionality to manage their activities ,Education,,
PR-134,Our application provides Login functionality for teachers so they can manage students easily.,Teacher Login,ubiquitous,"when teachers login, the system shall provide functionality to manage students easily",,ubiquitous,"when teachers login, the system shall provide functionality to manage students easily",Education,,
PR-134,Admin login performs different functionalities.,Admin Login,ubiquitous, the admin login shall perform different functionalities,,ubiquitous, the admin login shall perform different functionalities,Education,,
PR-134,Admin registered the students after checking the form which they filled for registration.,Admin Register students,ubiquitous,"when student fill form for registration, the admin shall register student after checking form information",,ubiquitous,"when student fill form for registration, the admin shall register student after checking form information",Education,,
PR-134,Admin registered the teachers after checking the form information which they give to fill the registration form.,Admin Register teachers,ubiquitous,when teacher fill  form for registration the admin shall register teacher  after checking form information,,ubiquitous,when teacher fill  form for registration the admin shall register teacher  after checking form information,Education,,
PR-134,After successfully login students can view the content and can learn concepts by watching animated videos.,Student Learn Concepts,ubiquitous,when student login the system shall provide  content which they can learn  by watching aniamted videos,,ubiquitous,when student login the system shall provide  content which they can learn  by watching aniamted videos,Education,,
PR-134,The student can perform practice activity after learning Concept which they have learned by watching videos. All the questions available for practice are random to make good practice.,Student performs practice activity,ubiquitous,when student learn concept from videos the system shall provide a  questionare which have random  practice questions,,ubiquitous,when student learn concept from videos the system shall provide a  questionare which have random  practice questions,Education,,
PR-134,Students perform an evaluation activity to check the progress of their concepts.,Student perform Evaluation Activity,ubiquitous,if student check their progress of concept than the system shall  perform an evaluation activity,,ubiquitous,if student check their progress of concept than the system shall  perform an evaluation activity,Education,,
PR-134,The teacher can view the student? progress and can comment according to their progress.,Teacher view Student? Progress,ubiquitous,when student perform any evaluation activity the teacher shall check it and  comment according to progress,,ubiquitous,when student perform any evaluation activity the teacher shall check it and  comment according to progress,Education,,
PR-134,Parents can view the student? progress and make a decision about whether they can perform the next activity or not.,Parent View Student? Progress,ubiquitous,where  student perform activity  the system shall allow paresnts to view and decide whether the student take next  activity or not ,,ubiquitous,where  student perform activity  the system shall allow paresnts to view and decide whether the student take next  activity or not ,Education,,
PR-135,Schema generation form should be present on screen,Schema Generation Screen,ubiquitous,the shall present schema generation form ,,ubiquitous,the Schema generation form shall be present on screen,Database sysytem,,
PR-135,Form must contain fields to add data,Schema Generation Screen,Ubiquitous,the form shall contain field to add data,,ubiquitous,the form shall contain field to add data,Database sysytem,,
PR-135,Form must have proper validations,Schema Generation Screen,Ubiquitous,the form shall have proper validations,,ubiquitous,the form shall have proper validations,Database sysytem,,
PR-135,Form must have a submit button,Schema Generation Screen,Ubiquitous,the form shall have a submit button,,ubiquitous,the form shall have a submit button,Database sysytem,,
PR-135,Form must pass data to controller,Schema Generation Screen,Ubiquitous,the form shall pass data to controller,,ubiquitous,the form shall pass data to controller,Database sysytem,,
PR-135,Controller must receive the form data,Schema generation Controller,Ubiquitous,the controller shall receive data from form ,,ubiquitous,the controller shall receive data from form ,Database sysytem,,
PR-135,Controller must validate the input data,Schema generation Controller,Ubiquitous,the controller shall validate the input data,,ubiquitous,the controller shall validate the input data,Database sysytem,,
PR-135,It must return React and Node projects as output,Schema generation Controller,Ubiquitous,the system shall return react and node  products as out put,,ubiquitous,the system shall return react and node  products as out put,Database sysytem,,
PR-135,Api must receive input as json object,CRUD API,ubiquitous,the shall gave input to API as json  project,,ubiquitous,the system  shall give input to API as json  object,Database sysytem,,
PR-135,It must validate json object,CRUD API,ubiquitous,the system shall validate json  project,,ubiquitous,the system shall validate json  project,Database sysytem,,
PR-135,It should return appropriate error message (if any),CRUD API,ubiquitous,the system shall return error messages.,,ubiquitous,the system shall return error messages.,Database sysytem,,
PR-135,Zip file must be available to user,CRUD API,ubiquitous,the system shall  provide zip file to user,,ubiquitous,the system shall  provide zip file to user,Database sysytem,,
PR-135,There should be methods provided for communication with database ,Table(s) Creation,Ubiquitous,the system shall provide methods to  communicate with data base,,ubiquitous,the system shall provide methods to  communicate with data base,Database sysytem,,
PR-135,"Edit, delete, add and list functionalities must be available",Table(s) Creation,Ubiquitous,"the system shall contain edit , delete , add and list functionalities",,ubiquitous,"the system shall contain edit , delete , add and list functionalities",Database sysytem,,
PR-135,"Data should be add, edit, delete and retrieve",Table(s) Creation,Ubiquitous,"the system shall add , delete and retrieve data ",,ubiquitous,"the system shall add , delete and retrieve data ",Database sysytem,,
PR-135,It should meet the standard Mongo db structure,Table(s) Creation,Ubiquitous,the database shall meet standard monodb structure,,ubiquitous,the database shall meet standard monodb structure,Database sysytem,,
PR-135,System must recognize relationships between entities,Entity Relationship,Ubiquitous,the system shall recognize relation ship between its entities,,ubiquitous,the system shall recognize relation ship between its entities,Database sysytem,,
PR-135,System must create relations in mongo db,Entity Relationship,Ubiquitous,the system shall create relationships between  mongodb,,ubiquitous,the system shall create relationships between  mongodb,Database sysytem,,
PR-135,System must present relationship between entities to user,Entity Relationship,Ubiquitous,the system shall present relationship between entities to user ,,ubiquitous,the system shall present relationship between entities to user ,Database sysytem,,
PR-135,DB principles must be fulfilling and secure,Entity Relationship,Ubiquitous,the system shall have secure and fulfilling database,,ubiquitous,the system shall have secure and fulfilling database,Database sysytem,,
PR-135,Project must have login screen,????????? Login View,Ubiquitous,the system shall have login screen,,ubiquitous,the system shall have login screen,Database sysytem,,
PR-135,Form must have email and password fields,????????? Login View,Ubiquitous,the sytem shall have password and email field in form,,ubiquitous,the sytem shall have password and email field in form,Database sysytem,,
PR-135,System must have a login button,????????? Login View,Ubiquitous,the system shall have login button,,ubiquitous,the system shall have login button,Database sysytem,,
PR-135,Project must have register page,Register view,Ubiquitous,the system shall have a registration page,,ubiquitous,the system shall have a registration page,Database sysytem,,
PR-135,Form must have registration fields,Register view,Ubiquitous,the system shall have a form  which have registration fields,,ubiquitous,the system shall have a form  which have registration fields,Database sysytem,,
PR-135,One sample user must be register into system,Default user,ubiquitous,the system shall have a sample user to enter,,ubiquitous,the system shall have a sample user to enter,Database sysytem,,
PR-135,User must have access to login the system,Default user,ubiquitous,the system shall provide acces  the user to login,,ubiquitous,the system shall provide acces  the user to login,Database sysytem,,
PR-135,User must have access to tables ,Default user,,,,ubiquitous,the user shall have access to tables in database,Database sysytem,,
PR-135,User must have access to update user? info,Default user,ubiquitous,the system shall giver acces to update user's information,,ubiquitous,the system shall giver acces to update user's information,Database sysytem,,
PR-135,User? info must be editable and save in the system,Default user,ubiquitous,the system shall  save information of users ,,ubiquitous,the system shall  save information of users ,Database sysytem,,
PR-135,Each table must be presented in form of Views,Table view,,,,ubiquitous,the system shall present table in form of view,Database sysytem,,
PR-135,"System must have Create, edit, delete and list functionalities for each table",Table view,ubiquitous,"the system shall contain create , edit , delete , add and list functionalities",,ubiquitous,"the system shall contain create , edit , delete , add and list functionalities",Database sysytem,,
PR-135,System must present table fields,Table view,,,,ubiquitous,the system shall present table fields,Database sysytem,,
PR-135,Table fields must be editable,Table view,,,,ubiquitous,the user shall be able to edit record,Database sysytem,,
PR-135,User must be able to add record into tables,Table view,,,,ubiquitous,the user shall be able to add record into tables,Database sysytem,,
PR-135,User must be able to delete record,Table view,,,,ubiquitous,the user shall able to delete record,Database sysytem,,
PR-135,Pagination must be applied on list pages,Table view,,,,ubiquitous,the system shall  apply Pagination on list pages,Database sysytem,,
PR-135,System must apply provided validations on table form fields,Validation ,ubiquitous,the system shall apply validations on table form fields,,ubiquitous,the system shall apply validations on table form fields,Database sysytem,,
PR-135,Validation response must be generated,Validation ,,,,ubiquitous,the system shall generate validate response,Database sysytem,,
PR-137,"The dashboard patient? homepage will show different options that are Doctor, Pharmacy, Laboratory, Medical History, Help and User Profile.  ",Patient homepage,Ubiquitous,"the system shall show patients dashboard different options that are Doctor, Pharmacy, Laboratory, Medical History, Help and User Profile",,ubiquitous,"the system shall show patients dashboard different options that are Doctor, Pharmacy, Laboratory, Medical History, Help and User Profile",Medical,,
PR-137,"The dashboard doctor? homepage will show different options that are Pharmacy, Laboratory, Upcoming Appointments, Add Appointment, Appointment History, Appointment Requests and User Profile.",Doctor home page,,,,ubiquitous,"the system shall show  the dashboard of doctor? with different options like Pharmacy, Laboratory, Upcoming Appointments, Add Appointment, Appointment History, Appointment Requests and User Profile.",Medical,,
PR-137,"The dashboard pharmacist? homepage will show different options that are Doctor, Received Prescriptions and User Profile.",Pharmacist home page,ubiquitous,"the system shall show  pharamcist dashboard with  different option   like doctor ,recieves prescription and user profile",,ubiquitous,"the system shall show  pharamcist dashboard with  different option   like doctor ,recieves prescription and user profile",Medical,,
PR-137,This page shall contain list of all the doctors.,Doctor,,,,ubiquitous,the applcation shall contain the list of all doctors,Medical,,
PR-137,This page will be used to find a pharmacy.,Pharmacy,,,,ubiquitous,the system shall use the page to find a pharmacy,Medical,,
PR-137,User will be allowed to send prescription to the pharmacist using this page.,Pharmacy,Ubiquitous,the system shall allow user to send prescription to pharmists,,ubiquitous,the system shall allow user to send prescription to pharmists,Medical,,
PR-137,User will be allowed to view the directions to the pharmacy on this page.,Pharmacy,Ubiquitous,the system shall allow user to  view directions  to pharmacy,,ubiquitous,the system shall allow user to  view directions  to pharmacy,Medical,,
PR-137,This page will be used to search a laboratory.,Laboratory ,,,,ubiquitous,the system shall be used to search a laboratory,Medical,,
PR-137,User will be allowed to view all the tests available at that laboratory.,Laboratory ,Ubiquitous,the system shall allow user to view all test avaialable at that laboratory,,ubiquitous,the system shall allow user to view all test avaialable at that laboratory,Medical,,
PR-137, Directions to the laboratory are shown using this page.,Laboratory ,Ubiquitous,the system shall show direction to laboratory on laboratory page ,,ubiquitous,the system shall show direction to laboratory on laboratory page ,Medical,,
PR-137,This page will contain all the medical history.,Medical history ,Ubiquitous,the system shall show all medical history of patient  on medical history page ,,ubiquitous,the system shall show all medical history of patient  on medical history page ,Medical,,
PR-137,"The page shall contain name of doctor, disease diagnosed, prescription, lab tests and its details.",Medical history ,Ubiquitous,"the system shall show name of doctor ,disease , diagnosed ,prescription ,lab test and its details on medical history page",,ubiquitous,"the system shall show name of doctor ,disease , diagnosed ,prescription ,lab test and its details on medical history page",Medical,,
PR-137,This page shall allow the user to view all prescriptions received.,Prescriptions Inbox,Ubiquitous,the system shall show all prescription received on prescription inbox page,,ubiquitous,the system shall show all prescription received on prescription inbox page,Medical,,
PR-137,User will view previously read prescriptions using this page.,Prescriptions Inbox,ubiquitous,the system shall show previously read prescription using prescription inbox view,,ubiquitous,the system shall show previously read prescription using prescription inbox view,Medical,,
PR-137,User will be able to view the name of sender in this page.,Prescriptions Inbox,ubiquitous,the system shall show name of sender in prescription inbox page,,ubiquitous,the system shall show name of sender in prescription inbox page,Medical,,
PR-137,This page shall allow the user to view any appointment requests received.,Appointments,ubiquitous,the system shall allow user to view any appointment requests received in appointment page,,ubiquitous,the system shall allow user to view any appointment requests received in appointment page,Medical,,
PR-137,The user will be able to view all the appointments that are upcoming.,Appointments,ubiquitous,the systam shall show user to view all upcomming apointment request,,ubiquitous,the systam shall show user to view all upcomming apointment request,Medical,,
PR-137,This page allows the user to view all recent appointments attended.,Appointments,ubiquitous,the system shall allow user to view all attended appoint on appointment page,,ubiquitous,the system shall allow user to view all attended appoint on appointment page,Medical,,
PR-137,This page allows the user to add an appointment.,Appointments,ubiquitous,the system shall allow user to add appointment on appointment page,,ubiquitous,the system shall allow user to add appointment on appointment page,Medical,,
PR-137,The application will allow the user to edit his/her details on the application using this page.,user profile ,ubiquitous,the system shall allow user to enter details on user profile page,,ubiquitous,the system shall allow user to enter details on user profile page,Medical,,
PR-138,The system will use data structures such as arrays and lists will be used to handle the information.,Game method,,,,ubiquitous,the system shall use data structure ,Game,,
PR-138,The system will detect collisions between the player and the objects.,Game method,,,,ubiquitous,the system shall detect collison between player of object,Game,,
PR-138,The system will make calculations for the lighting and rendering.,Internal Processes,,,,ubiquitous,the system shall make  calcultion for the lighting and rendring,Game,,
PR-138,"The particles for visual effects, the light bouncing and reflecting from other objects, as well as the light from the skybox is all calculated by the game engine.",Internal Processes,,,,ubiquitous,"the game engine shall  calculate the particles for visual effects, the light bouncing and reflecting from other objects",Game,,
PR-139,Register the account.,,,,,ubiquitous,the system shall register the user account,Online Service,,
PR-139,"Allow users (Customers, Factories, and Suppliers) to log in.",,,,,ubiquitous,the system shall allow the users to login ,Online Service,,
PR-139,Ability to allow admin to set registration permissions for new users.,,,,,ubiquitous,the system shall have ability to register new user,Online Service,,
PR-139,Ability to let the users view their profiles.,,,,,ubiquitous,the system shall view their profiles,Online Service,,
PR-139,Ability to allow users to update their profiles.,,,,,ubiquitous,the system shall update their profiles,Online Service,,
PR-139,"Easy to update, add, delete, edit products.",,,,,ubiquitous,"the system shall update,add,delete,edit the products",Online Service,,
PR-139,Add videos and ads on the website.,,,,,ubiquitous,the system shall add videos n the website,Online Service,,
PR-139,The website with good SEO.,,,,,ubiquitous,the website shall have good SEO,Online Service,,
PR-139,The project will allow users to manage the products.,,,,,ubiquitous,the user shall manage the products,Online Service,,
PR-143,User can log out from the application.,Homepage,Ubiquitous,the system shall provide logout option ,,ubiquitous,the system shall provide logout option ,Medical,,
PR-143,User can see his/her profile.,Homepage,Ubiquitous,the system shall allow user to  see his/her profile,,ubiquitous,the system shall allow user to  see his/her profile,Medical,,
PR-143,Doctor can upload the information about medicine.,Homepage,Ubiquitous,the system shall allow doctor to upload information about medicine,,ubiquitous,the system shall allow doctor to upload information about medicine,Medical,,
PR-143,User can see the hospital details.,Homepage,Ubiquitous,the system shall allow user to see hospital details,,ubiquitous,the system shall allow user to see hospital details,Medical,,
