index,Raw Requirements,Requirement with Standard Syntax, type,Domain,sub_domain,raw_length,standard_length,clean_raw_length,clean_standard_length,POS,Boilerplate Sentence
1586,system shall send notification student supervisor final decision.,system shall send notification student supervisor final decision.,0,Education,Web & Mobile app,94,94,65,65,"[('system', 'NN'), ('shall', 'MD'), ('send', 'VB'), ('notification', 'NN'), ('student', 'NN'), ('supervisor', 'VBD'), ('final', 'JJ'), ('decision', 'NN'), ('.', '.')]",The system shall send supervisor final system notification student decision
1587,system shall provide list faculty members.,system shall provide list faculty member,0,Education,Web & Mobile app,55,54,42,40,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('list', 'NN'), ('faculty', 'NN'), ('members', 'NNS'), ('.', '.')]",The system shall provide  system list faculty
1588,system shall provide list register new faculty member option.,system shall provide list register new faculty member option.,0,Education,Web & Mobile app,72,72,61,61,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('list', 'NN'), ('register', 'NN'), ('new', 'JJ'), ('faculty', 'NN'), ('member', 'NN'), ('option', 'NN'), ('.', '.')]",The system shall provide new system list register faculty member option
1589,system shall provide list delete faculty member option.,system shall provide list delete faculty member option.,0,Education,Web & Mobile app,64,64,55,55,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('list', 'NN'), ('delete', 'JJ'), ('faculty', 'NN'), ('member', 'NN'), ('option', 'NN'), ('.', '.')]",The system shall provide delete system list faculty member option
1590,system shall provide list faculty member current status active deleted,system shall provide list faculty member current status active deleted,0,Education,Web & Mobile app,102,102,70,70,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('list', 'NN'), ('faculty', 'NN'), ('member', 'NN'), ('current', 'JJ'), ('status', 'NN'), ('active', 'JJ'), ('deleted', 'VBD')]",The system shall provide deleted current active system list faculty member status
1591,"system shall provide search option different criterion (research field, review did, name, etc.) find faculty member",system shall provide search option different criterion find faculty member,0,Education,Web & Mobile app,130,89,115,74,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('search', 'NN'), ('option', 'NN'), ('different', 'JJ'), ('criterion', 'NN'), ('(', '('), ('research', 'NN'), ('field', 'NN'), (',', ','), ('review', 'NN'), ('did', 'VBD'), (',', ','), ('name', 'NN'), (',', ','), ('etc', 'FW'), ('.', '.'), (')', ')'), ('find', 'VBP'), ('faculty', 'JJ'), ('member', 'NN')]",The system shall provide did find different faculty system search option criterion research field review name member
1592,system shall provide form register new faculty member.,system shall provide form register new faculty member,0,Education,Web & Mobile app,65,64,54,53,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('form', 'NN'), ('register', 'NN'), ('new', 'JJ'), ('faculty', 'NN'), ('member', 'NN'), ('.', '.')]",The system shall provide new system form register faculty member
1593,system shall provide option delete faculty member.,system shall provide option delete faculty member.,0,Education,Web & Mobile app,63,63,50,50,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('option', 'NN'), ('delete', 'JJ'), ('faculty', 'NN'), ('member', 'NN'), ('.', '.')]",The system shall provide delete system option faculty member
1594,"system shall notify faculty member action (added, deleted) performed admin","system shall notify faculty member action (added, deleted) performed admin",0,Education,Web & Mobile app,90,90,74,74,"[('system', 'NN'), ('shall', 'MD'), ('notify', 'VB'), ('faculty', 'NN'), ('member', 'NN'), ('action', 'NN'), ('(', '('), ('added', 'VBN'), (',', ','), ('deleted', 'VBN'), (')', ')'), ('performed', 'VBD'), ('admin', 'NN')]",The system shall notify added deleted performed  system faculty member action admin
1595,"system shall provide list faculty member option assign role (reviewer, supervisor) one both.","system shall provide list faculty member option assign role (reviewer, supervisor) one both.",0,Education,Web & Mobile app,116,116,92,92,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('list', 'NN'), ('faculty', 'NN'), ('member', 'NN'), ('option', 'NN'), ('assign', 'NN'), ('role', 'NN'), ('(', '('), ('reviewer', 'JJR'), (',', ','), ('supervisor', 'NN'), (')', ')'), ('one', 'CD'), ('both', 'DT'), ('.', '.')]",The system shall provide  system list faculty member option assign role supervisor
1596,system shall provide list faculty member current role,system shall provide list faculty member current role.,0,Education,Web & Mobile app,82,82,53,54,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('list', 'NN'), ('faculty', 'NN'), ('member', 'NN'), ('current', 'JJ'), ('role', 'NN')]",The system shall provide current system list faculty member role
1597,admin select faculty member assign role.,system shall give access admin select faculty member assign role.,0,Education,Web & Mobile app,57,85,40,65,"[('admin', 'NN'), ('select', 'NN'), ('faculty', 'NN'), ('member', 'NN'), ('assign', 'JJ'), ('role', 'NN'), ('.', '.')]",The system shall  assign admin select faculty member role
1598,system shall provide option delete role.,system shall provide option delete role.,0,Education,Web & Mobile app,53,53,40,40,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('option', 'NN'), ('delete', 'JJ'), ('role', 'NN'), ('.', '.')]",The system shall provide delete system option role
1599,"system shall notify faculty member action (assign, delete role) performed admin.","system shall notify faculty member action (assign, delete role) performed admin.",0,Education,Web & Mobile app,95,95,80,80,"[('system', 'NN'), ('shall', 'MD'), ('notify', 'VB'), ('faculty', 'NN'), ('member', 'NN'), ('action', 'NN'), ('(', '('), ('assign', 'NN'), (',', ','), ('delete', 'JJ'), ('role', 'NN'), (')', ')'), ('performed', 'VBD'), ('admin', 'NN'), ('.', '.')]",The system shall notify performed delete system faculty member action assign role admin
1600,system provide option schedule presentation revised synopses.,system shall provide option schedule presentation revised synopses.,0,Education,Web & Mobile app,85,86,61,67,"[('system', 'NN'), ('provide', 'VBP'), ('option', 'NN'), ('schedule', 'NN'), ('presentation', 'NN'), ('revised', 'VBN'), ('synopses', 'NNS'), ('.', '.')]",The system shall provide revised  system option schedule presentation
1601,system provide form select venue presentation.,system shall provide form select venue presentation.,0,Education,Web & Mobile app,75,77,46,52,"[('system', 'NN'), ('provide', 'VBP'), ('form', 'NN'), ('select', 'NN'), ('venue', 'NN'), ('presentation', 'NN'), ('.', '.')]",The system shall provide  system form select venue presentation
1602,system shall provide option logout.,system shall provide option logout.,0,Education,Web & Mobile app,45,45,35,35,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('option', 'NN'), ('logout', 'NN'), ('.', '.')]",The system shall provide  system option logout
1603,admin register faculty member.,system shall register faculty member admin.,0,Education,Web & Mobile app,40,54,30,43,"[('admin', 'RB'), ('register', 'NN'), ('faculty', 'NN'), ('member', 'NN'), ('.', '.')]",The system shall   register faculty member
1604,system shall provide list synopsis assigned reviewer admin review.,system shall provide list synopsis assigned reviewer admin review.,0,Education,Web & Mobile app,97,96,66,66,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('list', 'NN'), ('synopsis', 'NN'), ('assigned', 'VBD'), ('reviewer', 'JJR'), ('admin', 'NN'), ('review', 'NN'), ('.', '.')]",The system shall provide assigned  system list synopsis admin review
1605,deadline also shown reviewer,system shall show deadline sysnopsis review reviewer,0,Education,Web & Mobile app,44,68,28,52,"[('deadline', 'NN'), ('also', 'RB'), ('shown', 'VBN'), ('reviewer', 'NN')]",The system shall shown  deadline reviewer
1606,system shall provide page add comment synopsis.,system shall provide page add comment synopsis.,0,Education,Web & Mobile app,66,66,47,47,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('page', 'NN'), ('add', 'JJ'), ('comment', 'NN'), ('synopsis', 'NN'), ('.', '.')]",The system shall provide add system page comment synopsis
1607,student register synopsis selecting supervisor.,student shall register synopsis selecting supervisor,0,Education,Web & Mobile app,70,67,47,52,"[('student', 'NN'), ('register', 'NN'), ('synopsis', 'NN'), ('selecting', 'VBG'), ('supervisor', 'NN'), ('.', '.')]",The system shall selecting  student register synopsis supervisor
1608,system shall ask supervisor acknowledgment student supervision.,system shall ask supervisor acknowledgment student supervision.,0,Education,Web & Mobile app,98,98,63,63,"[('system', 'NN'), ('shall', 'MD'), ('ask', 'VB'), ('supervisor', 'NN'), ('acknowledgment', 'JJ'), ('student', 'NN'), ('supervision', 'NN'), ('.', '.')]",The system shall ask acknowledgment system supervisor student supervision
1609,system shall provide review comment anonymous reviewer (reviewer id hidden) forwarded admin synopsis,system shall provide review comment anonymous reviewer forwarded admin synopsis,0,Education,Web & Mobile app,138,109,100,79,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('review', 'VB'), ('comment', 'NN'), ('anonymous', 'JJ'), ('reviewer', 'NN'), ('(', '('), ('reviewer', 'JJR'), ('id', 'NN'), ('hidden', 'NN'), (')', ')'), ('forwarded', 'VBD'), ('admin', 'JJ'), ('synopsis', 'NN')]",The system shall provide review forwarded anonymous admin system comment reviewer id hidden synopsis
1610,user must click sign-up button.,system shall allow user click sign-up button.,0,Social media,Web development,38,59,31,45,"[('user', 'NN'), ('must', 'MD'), ('click', 'VB'), ('sign-up', 'JJ'), ('button', 'NN'), ('.', '.')]",The system shall click sign-up user button
1611,user shall click submit,system shall allow user click submit button,0,Social media,Web development,28,54,23,43,"[('user', 'RB'), ('shall', 'MD'), ('click', 'VB'), ('submit', 'NN')]",
1612,user must enter email id,system shall allow user enter email id,0,Social media,Web development,32,50,24,38,"[('user', 'NN'), ('must', 'MD'), ('enter', 'VB'), ('email', 'NN'), ('id', 'NN')]",
1613,user shall click sign-in button,system shall allow user click sign-in button,0,Social media,Web development,43,63,31,44,"[('user', 'RB'), ('shall', 'MD'), ('click', 'VB'), ('sign-in', 'JJ'), ('button', 'NN')]",
1614,system shall start first accessing activated links.,system shall start first accessing activated links.,0,Social media,Web development,58,62,51,51,"[('system', 'NN'), ('shall', 'MD'), ('start', 'VB'), ('first', 'JJ'), ('accessing', 'VBG'), ('activated', 'JJ'), ('links', 'NNS'), ('.', '.')]",The system shall start accessing first activated system
1615,system shall collect news links.,system shall collect news activated links.,0,Social media,Web development,48,52,32,42,"[('system', 'NN'), ('shall', 'MD'), ('collect', 'VB'), ('news', 'NN'), ('links', 'NNS'), ('.', '.')]",
1616,ai model shall automatically classify data collected scrapping different news source,ai model shall automatically classify collect data scrapping different news source,0,Social media,Web development,91,101,84,82,"[('ai', 'NN'), ('model', 'NN'), ('shall', 'MD'), ('automatically', 'RB'), ('classify', 'VB'), ('data', 'NNS'), ('collected', 'VBN'), ('scrapping', 'VBG'), ('different', 'JJ'), ('news', 'NN'), ('source', 'NN')]",The system shall classify collected scrapping different ai model news source
1617,ai model shall trained classify identify correct category news.,ai model shall train classify identify correct category news.,0,Social media,Web development,85,79,63,61,"[('ai', 'NN'), ('model', 'NN'), ('shall', 'MD'), ('trained', 'VB'), ('classify', 'VB'), ('identify', 'VB'), ('correct', 'JJ'), ('category', 'NN'), ('news', 'NN'), ('.', '.')]",The system shall trained classify identify correct ai model category news
1618,updated data shall published website.,system shall displayes updated data website.,0,Social media,Web development,51,60,37,44,"[('updated', 'VBN'), ('data', 'NNS'), ('shall', 'MD'), ('published', 'VBN'), ('website', 'NN'), ('.', '.')]",The system shall updated published  website
1619,unregistered user shall allowed read selected news.,system shall allow unregistered user read selected news.,0,Social media,Web development,64,71,51,56,"[('unregistered', 'JJ'), ('user', 'NN'), ('shall', 'MD'), ('allowed', 'VBN'), ('read', 'VB'), ('selected', 'VBN'), ('news', 'NN'), ('.', '.')]",The system shall allowed read selected unregistered user news
1620,user shall also permitted search news category.,system shall allow user search news category.,0,Social media,Web development,62,67,47,45,"[('user', 'NN'), ('shall', 'MD'), ('also', 'RB'), ('permitted', 'VBN'), ('search', 'NN'), ('news', 'NN'), ('category', 'NN'), ('.', '.')]",The system shall permitted  user search news category
1621,registered user must first log website.,system shall allow registered user first log website.,0,Social media,Web development,49,74,39,53,"[('registered', 'VBN'), ('user', 'NN'), ('must', 'MD'), ('first', 'VB'), ('log', 'NN'), ('website', 'NN'), ('.', '.')]",The system shall registered first  user log website
1622,news shall added user? saved tab.,system shall add news user? saved tab.,0,Social media,Web development,52,49,33,38,"[('news', 'NN'), ('shall', 'MD'), ('added', 'VBD'), ('user', 'NN'), ('?', '.'), ('saved', 'VBD'), ('tab', 'NN'), ('.', '.')]",The system shall added saved  news user tab
1623,user shall open news shall go comment section.,system shall allow user shall open news shall go comment section.,0,Social media,Web development,71,94,46,65,"[('user', 'RB'), ('shall', 'MD'), ('open', 'VB'), ('news', 'NN'), ('shall', 'MD'), ('go', 'VB'), ('comment', 'JJ'), ('section', 'NN'), ('.', '.')]",The system shall open go comment news section
1624,system shall run ai model check inappropriate language.,system shall check inappropritae language ai model.,0,Social media,Web development,90,68,55,51,"[('system', 'NN'), ('shall', 'MD'), ('run', 'VB'), ('ai', 'RB'), ('model', 'NN'), ('check', 'NN'), ('inappropriate', 'JJ'), ('language', 'NN'), ('.', '.')]",The system shall run inappropriate system model check language
1625,user shall first login account.,system shall allow user first login account.,0,Social media,Web development,42,60,31,44,"[('user', 'RB'), ('shall', 'MD'), ('first', 'RB'), ('login', 'VB'), ('account', 'NN'), ('.', '.')]",
1626,admin panel allows full back-end access website settings.,system shall allow admin panel full back-end access website settings.,0,Social media,Web development,68,85,57,69,"[('admin', 'JJ'), ('panel', 'NN'), ('allows', 'VBZ'), ('full', 'JJ'), ('back-end', 'JJ'), ('access', 'NN'), ('website', 'JJ'), ('settings', 'NNS'), ('.', '.')]",The system shall allows admin full back-end website panel access
1627,admin shall also allowed activate deactivate link scrapped.,system shall allow admin activate deactivate link scrapped.,0,Social media,Web development,79,80,59,59,"[('admin', 'NN'), ('shall', 'MD'), ('also', 'RB'), ('allowed', 'VBN'), ('activate', 'JJ'), ('deactivate', 'NN'), ('link', 'NN'), ('scrapped', 'VBD'), ('.', '.')]",The system shall allowed scrapped activate admin deactivate link
1628,admin shall also allowed access registered user portal.,system shall allow admin access registered user portal.,0,Social media,Web development,69,71,55,55,"[('admin', 'NN'), ('shall', 'MD'), ('also', 'RB'), ('allowed', 'VB'), ('access', 'NN'), ('registered', 'VBN'), ('user', 'JJ'), ('portal', 'NN'), ('.', '.')]",The system shall allowed registered user admin access portal
1629,system shall run content comment machine learning algorithm.,system shall run content comment machine learning algorithm.,0,Social media,Web development,92,88,60,60,"[('system', 'NN'), ('shall', 'MD'), ('run', 'VB'), ('content', 'JJ'), ('comment', 'NN'), ('machine', 'NN'), ('learning', 'VBG'), ('algorithm', 'NN'), ('.', '.')]",The system shall run learning content system comment machine algorithm
1630,system shall enter information.,system shall enter information.,0,Event,Web development,39,39,31,31,"[('system', 'NN'), ('shall', 'MD'), ('enter', 'VB'), ('information', 'NN'), ('.', '.')]",The system shall enter  system information
1631,system shall validate user sign up.,system shall validate user create account.,0,Event,Web development,51,58,35,42,"[('system', 'NN'), ('shall', 'MD'), ('validate', 'VB'), ('user', 'NN'), ('sign', 'NN'), ('up', 'RB'), ('.', '.')]",The system shall validate  system user sign
1632,system shall add hotel manager list owned hotels.,system shall add hotel manager list owned hotels.,0,Event,Web development,68,68,49,49,"[('system', 'NN'), ('shall', 'MD'), ('add', 'VB'), ('hotel', 'NN'), ('manager', 'NN'), ('list', 'NN'), ('owned', 'VBD'), ('hotels', 'NNS'), ('.', '.')]",The system shall add owned  system hotel manager list
1633,system shall modify hotel detail add manager list owned hotels.,system shall modify hotel detail manager list owned hotels.,0,Event,Web development,90,79,63,59,"[('system', 'NN'), ('shall', 'MD'), ('modify', 'VB'), ('hotel', 'NN'), ('detail', 'NN'), ('add', 'NN'), ('manager', 'NN'), ('list', 'NN'), ('owned', 'VBD'), ('hotels', 'NNS'), ('.', '.')]",The system shall modify owned  system hotel detail add manager list
1635,"finally, system shall remove hotel manager list owned hotels.",system shall remove hotel manager list owned hotels.,0,Event,Web development,82,74,61,52,"[('finally', 'RB'), (',', ','), ('system', 'NN'), ('shall', 'MD'), ('remove', 'VB'), ('hotel', 'NN'), ('manager', 'NN'), ('list', 'NN'), ('owned', 'VBD'), ('hotels', 'NNS'), ('.', '.')]",The system shall remove owned  system hotel manager list
1636,system shall allow user view rating comment,system shall allow user view rating comment,0,Event,Web development,60,60,43,43,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('view', 'NN'), ('rating', 'NN'), ('comment', 'NN')]",The system shall allow  system view rating comment
1637,system shall allow user edit delete rating comment,system shall allow user delete rating comment,0,Event,Web development,66,67,50,45,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('edit', 'NN'), ('delete', 'NN'), ('rating', 'NN'), ('comment', 'NN')]",The system shall allow  system user edit delete rating comment
1639,system shall allow admin view user managerial account,system shall allow admin view user managerial account,0,Event,Web development,74,74,53,53,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('admin', 'RB'), ('view', 'NN'), ('user', 'JJ'), ('managerial', 'NN'), ('account', 'NN')]",The system shall allow user system view managerial account
1640,user shall allow user delete account selecting delete option,system shall allow user delete account selecting delete option,0,Event,Web development,75,77,60,62,"[('user', 'RB'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('delete', 'JJ'), ('account', 'NN'), ('selecting', 'VBG'), ('delete', 'JJ'), ('option', 'NN')]",The system shall allow selecting user delete account option
1641,system shall remove account database.,system shall remove account database.,0,Event,Web development,59,54,37,37,"[('system', 'NN'), ('shall', 'MD'), ('remove', 'VB'), ('account', 'NN'), ('database', 'NN'), ('.', '.')]",The system shall remove  system account database
1642,system shall allow admin view user managerial account,system shall allow admin view user managerial account,0,Event,Web development,74,74,53,53,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('admin', 'RB'), ('view', 'NN'), ('user', 'JJ'), ('managerial', 'NN'), ('account', 'NN')]",The system shall allow user system view managerial account
1643,user shall allow user block account selecting block option,system shall allow user block account selecting block option,0,Event,Web development,73,75,58,60,"[('user', 'RB'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('block', 'NN'), ('account', 'NN'), ('selecting', 'VBG'), ('block', 'NN'), ('option', 'NN')]",The system shall allow selecting user block account option
1644,system shall notify users/managers account blockage.,system shall notify users/managers account blockage.,0,Event,Web development,64,63,52,52,"[('system', 'NN'), ('shall', 'MD'), ('notify', 'VB'), ('users/managers', 'NNS'), ('account', 'VBP'), ('blockage', 'NN'), ('.', '.')]",The system shall notify account  system blockage
1645,"user shall give information event type, price, schedule hotel shall host event.","system shall ask user give information event type, price, schedule hotel shall host event.",0,Event,Web development,106,122,79,90,"[('user', 'RB'), ('shall', 'MD'), ('give', 'VB'), ('information', 'NN'), ('event', 'NN'), ('type', 'NN'), (',', ','), ('price', 'NN'), (',', ','), ('schedule', 'NN'), ('hotel', 'NN'), ('shall', 'MD'), ('host', 'VB'), ('event', 'NN'), ('.', '.')]",The system shall give host  information event type price schedule hotel
1646,system shall add event manager list available events.,system shall add event manager list available events.,0,Event,Web development,72,72,53,53,"[('system', 'NN'), ('shall', 'MD'), ('add', 'VB'), ('event', 'NN'), ('manager', 'NN'), ('list', 'NN'), ('available', 'JJ'), ('events', 'NNS'), ('.', '.')]",The system shall add available system event manager list
1647,system shall save customer? name email future use.,system shall save customer? name email future use.,0,prediction system,Artificial Intelligence,62,62,50,50,"[('system', 'NN'), ('shall', 'MD'), ('save', 'VB'), ('customer', 'NN'), ('?', '.'), ('name', 'NN'), ('email', 'NN'), ('future', 'NN'), ('use', 'NN'), ('.', '.')]",The system shall save  system customer name email future use
1648,system able process new comment,system shall able process new comment,0,prediction system,Artificial Intelligence,49,45,31,37,"[('system', 'NN'), ('able', 'JJ'), ('process', 'NN'), ('new', 'JJ'), ('comment', 'NN')]",The system shall  able new system process comment
1649,system shall provide search bar write form comment,system shall provide search bar write form comment,0,prediction system,Artificial Intelligence,70,70,50,50,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('search', 'NN'), ('bar', 'NN'), ('write', 'JJ'), ('form', 'JJ'), ('comment', 'NN')]",The system shall provide write form system search bar comment
1650,system shall predict whether comment positive negative neutral,system shall predict whether comment positive negative neutral,0,prediction system,Artificial Intelligence,78,78,62,62,"[('system', 'NN'), ('shall', 'MD'), ('predict', 'VB'), ('whether', 'IN'), ('comment', 'NN'), ('positive', 'JJ'), ('negative', 'JJ'), ('neutral', 'JJ')]",The system shall predict positive negative neutral system comment
1651,system shall allow user view accuracy system.,system shall allow user view accuracy system.,0,prediction system,Artificial Intelligence,67,67,45,45,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('view', 'NN'), ('accuracy', 'NN'), ('system', 'NN'), ('.', '.')]",The system shall allow  system view accuracy
1652,"system shall allow customer, tax agent create new account application.","system shall allow customer, tax agent create new account application.",0,Tax Calculator,Mobile app,86,86,70,70,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('customer', 'NN'), (',', ','), ('tax', 'NN'), ('agent', 'NN'), ('create', 'VB'), ('new', 'JJ'), ('account', 'NN'), ('application', 'NN'), ('.', '.')]",The system shall allow create new system customer tax agent account application
1653,system validate information creates account successfully.,system shall validate information creates account successfully.,0,Tax Calculator,Mobile app,80,79,57,63,"[('system', 'NN'), ('validate', 'JJ'), ('information', 'NN'), ('creates', 'VBZ'), ('account', 'VBP'), ('successfully', 'RB'), ('.', '.')]",The system shall creates account validate system information
1654,system recognize member management username password.,system shall recognize member management username password.,0,Tax Calculator,Mobile app,88,87,53,59,"[('system', 'NN'), ('recognize', 'VB'), ('member', 'NN'), ('management', 'NN'), ('username', 'JJ'), ('password', 'NN'), ('.', '.')]",The system shall recognize username system member management password
1655,"system shall give different access customers, tax agents, application managers.","system shall give different access customers, tax agents, application managers.",0,Tax Calculator,Mobile app,98,98,79,79,"[('system', 'NN'), ('shall', 'MD'), ('give', 'VB'), ('different', 'JJ'), ('access', 'NN'), ('customers', 'NNS'), (',', ','), ('tax', 'NN'), ('agents', 'NNS'), (',', ','), ('application', 'NN'), ('managers', 'NNS'), ('.', '.')]",The system shall give different system access tax application
1656,system shall display home page customer tax agent.,system shall display home page customer tax agent.,0,Tax Calculator,Mobile app,74,74,50,50,"[('system', 'NN'), ('shall', 'MD'), ('display', 'VB'), ('home', 'NN'), ('page', 'NN'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('.', '.')]",The system shall display  system home page customer tax agent
1657,system shall let customer tax agent select functionality home page.,system shall let customer tax agent select functionality home page.,0,Tax Calculator,Mobile app,98,98,67,67,"[('system', 'NN'), ('shall', 'MD'), ('let', 'VB'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('select', 'JJ'), ('functionality', 'NN'), ('home', 'NN'), ('page', 'NN'), ('.', '.')]",The system shall let select system customer tax agent functionality home page
1658,system shall display tax law different category customer tax agent.,system shall display tax law different category customer tax agent.,0,Tax Calculator,Mobile app,96,96,67,67,"[('system', 'NN'), ('shall', 'MD'), ('display', 'VB'), ('tax', 'NN'), ('law', 'NN'), ('different', 'JJ'), ('category', 'NN'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('.', '.')]",The system shall display different system tax law category customer agent
1659,system shall enable customer tax agent view tax law application.,system shall enable customer tax agent view tax law application.,0,Tax Calculator,Mobile app,96,96,64,64,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('view', 'NN'), ('tax', 'NN'), ('law', 'NN'), ('application', 'NN'), ('.', '.')]",The system shall enable  system customer tax agent view law application
1660,system able calculate tax different categories.,system able calculate tax different categories.,0,Tax Calculator,Mobile app,68,68,47,47,"[('system', 'NN'), ('able', 'JJ'), ('calculate', 'JJ'), ('tax', 'NN'), ('different', 'JJ'), ('categories', 'NNS'), ('.', '.')]",The system shall  able calculate different system tax
1661,system enable customer tax agent calculate tax different categories.,system shall enable customer tax agent calculate tax different categories.,0,Tax Calculator,Mobile app,97,97,68,74,"[('system', 'NN'), ('enable', 'JJ'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('calculate', 'NN'), ('tax', 'NN'), ('different', 'JJ'), ('categories', 'NNS'), ('.', '.')]",The system shall  enable different system customer tax agent calculate
1662,system calculate tax chosen category tax customer tax agent accurately.,system shall calculate tax chosen category tax customer tax agent accurately.,0,Tax Calculator,Mobile app,112,111,71,77,"[('system', 'NN'), ('calculate', 'JJ'), ('tax', 'NN'), ('chosen', 'NN'), ('category', 'NN'), ('tax', 'NN'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('accurately', 'RB'), ('.', '.')]",The system shall  calculate system tax chosen category customer agent
1663,system enable customer search agent application.,system shall enable customer search agent application.,0,Tax Calculator,Mobile app,80,79,48,54,"[('system', 'NN'), ('enable', 'JJ'), ('customer', 'NN'), ('search', 'NN'), ('agent', 'NN'), ('application', 'NN'), ('.', '.')]",The system shall  enable system customer search agent application
1664,system ask customer select search type application.,system shall ask customer select search type application.,0,Tax Calculator,Mobile app,80,79,51,57,"[('system', 'NN'), ('ask', 'VB'), ('customer', 'NN'), ('select', 'NN'), ('search', 'NN'), ('type', 'NN'), ('application', 'NN'), ('.', '.')]",The system shall ask  system customer select search type application
1665,system display result search customer.,system shall display result search customer.,0,Tax Calculator,Mobile app,68,67,38,44,"[('system', 'NN'), ('display', 'NN'), ('result', 'NN'), ('search', 'NN'), ('customer', 'NN'), ('.', '.')]",The system shall   system display result search customer
1666,system shall enable customer tax agent suggestion option.,system shall enable customer tax agent suggestion option.,0,Tax Calculator,Mobile app,72,72,57,57,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('suggestion', 'NN'), ('option', 'NN'), ('.', '.')]",The system shall enable  system customer tax agent suggestion option
1667,"system shall ask customer tax agent detail (name, contact number, address)","system shall ask customer tax agent detail (name, contact number, address)",0,Tax Calculator,Mobile app,87,87,74,74,"[('system', 'NN'), ('shall', 'MD'), ('ask', 'VB'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('detail', 'NN'), ('(', '('), ('name', 'NN'), (',', ','), ('contact', 'NN'), ('number', 'NN'), (',', ','), ('address', 'NN'), (')', ')')]",The system shall ask  system customer tax agent detail name contact number address
1668,system shall enable customer tax agent feedback option.,system shall enable customer tax agent feedback option.,0,Tax Calculator,Mobile app,70,70,55,55,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('feedback', 'NN'), ('option', 'NN'), ('.', '.')]",The system shall enable  system customer tax agent feedback option
1669,"system shall ask customer tax agent detail (name, contact number, address)","system shall ask customer tax agent detail (name, contact number, address)",0,Tax Calculator,Mobile app,87,87,74,74,"[('system', 'NN'), ('shall', 'MD'), ('ask', 'VB'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('detail', 'NN'), ('(', '('), ('name', 'NN'), (',', ','), ('contact', 'NN'), ('number', 'NN'), (',', ','), ('address', 'NN'), (')', ')')]",The system shall ask  system customer tax agent detail name contact number address
1670,system provide customer tax agent rate application option.,system shall provide customer tax agent rate application option.,0,Tax Calculator,Mobile app,85,84,58,64,"[('system', 'NN'), ('provide', 'VB'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('rate', 'NN'), ('application', 'NN'), ('option', 'NN'), ('.', '.')]",The system shall provide  system customer tax agent rate application option
1671,system ask customer tax agent select rate application.,system shall ask customer tax agent select rate application.,0,Tax Calculator,Mobile app,87,87,54,60,"[('system', 'NN'), ('ask', 'VB'), ('customer', 'NN'), ('tax', 'NN'), ('agent', 'NN'), ('select', 'NN'), ('rate', 'NN'), ('application', 'NN'), ('.', '.')]",The system shall ask  system customer tax agent select rate application
